Timestamp,SliceType,Size_MBits
0.011579,mMTC,0.467
0.014930,mMTC,0.345
0.022190,mMTC,0.307
0.023951,mMTC,0.175
0.024372,mMTC,0.395
0.027283,mMTC,0.163
0.031377,eMBB,7.741
0.037881,mMTC,0.218
0.042836,mMTC,0.332
0.047417,mMTC,0.206
0.049092,mMTC,0.201
0.051076,mMTC,0.158
0.051981,mMTC,0.486
0.068104,mMTC,0.175
0.068227,mMTC,0.182
0.074245,mMTC,0.412
0.074361,mMTC,0.331
0.074369,mMTC,0.306
0.079474,mMTC,0.494
0.080974,mMTC,0.421
0.091193,mMTC,0.469
0.091204,mMTC,0.288
0.098232,eMBB,8.989
0.111146,mMTC,0.319
0.136391,uRLLC,1.227
0.138361,uRLLC,0.630
0.146239,uRLLC,0.877
0.184816,mMTC,0.353
0.269636,mMTC,0.326
0.308303,eMBB,13.119
0.320078,mMTC,0.465
0.369571,uRLLC,0.641
0.399433,uRLLC,0.553
0.407173,mMTC,0.418
0.409797,mMTC,0.175
0.432542,mMTC,0.198
0.452130,uRLLC,1.028
0.511800,mMTC,0.297
0.520032,uRLLC,1.909
0.555594,mMTC,0.145
0.634923,eMBB,8.460
0.648208,eMBB,8.834
0.648346,mMTC,0.484
0.671568,mMTC,0.105
0.711647,uRLLC,0.667
0.737467,eMBB,13.500
0.755030,uRLLC,1.170
0.769769,mMTC,0.108
0.812273,mMTC,0.265
0.827851,eMBB,13.014
0.834785,eMBB,6.905
0.862485,uRLLC,1.554
0.889387,uRLLC,1.040
0.910065,eMBB,14.536
0.975530,eMBB,13.986
1.022716,mMTC,0.133
1.025637,eMBB,11.608
1.059006,uRLLC,1.948
1.060120,mMTC,0.404
1.122022,mMTC,0.381
1.156965,uRLLC,1.962
1.188162,uRLLC,0.625
1.194929,mMTC,0.189
1.206426,uRLLC,1.715
1.210558,uRLLC,1.175
1.217525,mMTC,0.206
1.220800,mMTC,0.197
1.225245,mMTC,0.423
1.234577,mMTC,0.178
1.304985,eMBB,13.103
1.318850,mMTC,0.466
1.321935,mMTC,0.486
1.322395,uRLLC,0.954
1.364247,mMTC,0.364
1.416244,eMBB,6.075
1.438862,uRLLC,1.209
1.509284,uRLLC,0.863
1.511393,uRLLC,1.316
1.524955,eMBB,13.923
1.541638,uRLLC,1.128
1.579505,mMTC,0.311
1.601827,eMBB,12.890
1.608447,uRLLC,0.817
1.670200,uRLLC,1.623
1.687647,eMBB,14.935
1.718464,eMBB,9.256
1.741986,mMTC,0.227
1.764202,uRLLC,1.217
1.764719,mMTC,0.206
1.771934,mMTC,0.221
1.779271,mMTC,0.227
1.787387,eMBB,11.013
1.816274,uRLLC,1.341
1.836115,mMTC,0.357
1.869320,uRLLC,1.424
1.900990,mMTC,0.342
1.922899,mMTC,0.411
1.928516,uRLLC,0.964
1.947308,uRLLC,0.607
1.969292,mMTC,0.105
1.975794,uRLLC,0.591
1.978347,mMTC,0.239
1.997524,uRLLC,1.663
2.023076,mMTC,0.164
2.062869,uRLLC,1.596
2.108782,uRLLC,1.465
2.135180,mMTC,0.167
2.156267,uRLLC,1.982
2.186466,mMTC,0.173
2.192845,mMTC,0.472
2.254341,uRLLC,1.624
2.313296,mMTC,0.157
2.349630,uRLLC,0.788
2.360838,uRLLC,1.111
2.360863,uRLLC,1.768
2.372577,uRLLC,1.609
2.396847,mMTC,0.408
2.430874,uRLLC,1.942
2.442661,mMTC,0.299
2.462719,uRLLC,1.614
2.463311,mMTC,0.420
2.467805,mMTC,0.194
2.486544,uRLLC,0.689
2.496632,mMTC,0.437
2.501674,uRLLC,0.828
2.519927,mMTC,0.330
2.523296,eMBB,13.889
2.570145,mMTC,0.206
2.570633,mMTC,0.320
2.626451,uRLLC,1.709
2.632102,mMTC,0.354
2.640554,uRLLC,0.887
2.663620,uRLLC,1.138
2.679749,eMBB,14.901
2.720067,uRLLC,1.832
2.771581,mMTC,0.289
2.789812,mMTC,0.240
2.790651,eMBB,6.775
2.791249,uRLLC,0.820
2.809204,eMBB,8.714
2.838117,eMBB,8.307
2.848761,eMBB,9.365
2.864872,mMTC,0.278
2.864941,uRLLC,0.541
2.886746,uRLLC,0.613
2.890008,uRLLC,1.795
2.894519,mMTC,0.432
2.901650,mMTC,0.246
2.973532,uRLLC,1.150
3.023867,mMTC,0.485
3.024199,mMTC,0.273
3.057155,eMBB,8.488
3.067946,mMTC,0.242
3.081081,mMTC,0.110
3.116112,eMBB,14.985
3.120999,eMBB,13.591
3.146768,mMTC,0.108
3.146799,uRLLC,1.288
3.150333,mMTC,0.218
3.154162,uRLLC,1.956
3.166400,mMTC,0.214
3.196445,uRLLC,1.950
3.219241,eMBB,6.369
3.281166,uRLLC,1.162
3.305627,mMTC,0.389
3.358572,mMTC,0.407
3.383991,uRLLC,1.192
3.428182,uRLLC,0.646
3.442093,mMTC,0.454
3.454533,mMTC,0.400
3.459075,uRLLC,0.795
3.495036,eMBB,11.573
3.536691,mMTC,0.255
3.555507,uRLLC,1.766
