Timestamp,SliceType,Size_MBits
0.001751,uRLLC,1.153
0.038109,uRLLC,0.996
0.039888,mMTC,0.348
0.041669,mMTC,0.207
0.046522,mMTC,0.312
0.047244,mMTC,0.305
0.048264,mMTC,0.414
0.053373,uRLLC,1.241
0.057884,mMTC,0.132
0.061402,mMTC,0.126
0.064196,mMTC,0.139
0.064876,mMTC,0.339
0.066157,mMTC,0.143
0.067402,mMTC,0.240
0.070555,mMTC,0.181
0.071586,eMBB,9.831
0.075669,mMTC,0.255
0.083560,mMTC,0.332
0.084445,mMTC,0.380
0.101143,mMTC,0.300
0.159546,eMBB,8.416
0.178337,uRLLC,1.141
0.211289,mMTC,0.411
0.216606,uRLLC,1.931
0.249640,mMTC,0.133
0.264215,eMBB,13.509
0.268987,uRLLC,0.541
0.272453,mMTC,0.127
0.287915,uRLLC,1.956
0.329382,eMBB,11.018
0.395297,uRLLC,0.754
0.418414,uRLLC,1.286
0.447816,uRLLC,0.569
0.510382,eMBB,9.414
0.527034,mMTC,0.229
0.542072,mMTC,0.255
0.598030,eMBB,12.367
0.631267,mMTC,0.105
0.657625,eMBB,7.694
0.711094,mMTC,0.110
0.720057,uRLLC,1.081
0.765360,mMTC,0.266
0.765878,uRLLC,1.326
0.766864,eMBB,6.128
0.786966,mMTC,0.117
0.813839,eMBB,11.575
0.844040,eMBB,9.168
0.854013,mMTC,0.365
0.863358,mMTC,0.453
0.938614,mMTC,0.154
0.973087,eMBB,12.488
1.006452,uRLLC,1.315
1.023088,uRLLC,1.878
1.040210,mMTC,0.238
1.055521,mMTC,0.466
1.082734,mMTC,0.316
1.082867,uRLLC,1.739
1.129616,mMTC,0.171
1.148001,uRLLC,1.234
1.173386,eMBB,11.995
1.174349,mMTC,0.175
1.180209,mMTC,0.210
1.180724,mMTC,0.352
1.198214,mMTC,0.175
1.200926,uRLLC,0.926
1.203221,mMTC,0.214
1.208650,eMBB,10.495
1.217057,uRLLC,1.983
1.220398,uRLLC,0.848
1.235098,mMTC,0.165
1.289124,uRLLC,0.826
1.337165,mMTC,0.361
1.379380,uRLLC,0.547
1.396768,uRLLC,1.557
1.402877,uRLLC,0.546
1.417359,mMTC,0.336
1.420041,mMTC,0.126
1.422265,mMTC,0.258
1.432331,uRLLC,0.797
1.441783,eMBB,9.324
1.477460,mMTC,0.216
1.525219,mMTC,0.481
1.554930,mMTC,0.183
1.562613,eMBB,9.446
1.571640,uRLLC,1.289
1.574530,uRLLC,0.747
1.582632,mMTC,0.383
1.614413,uRLLC,1.666
1.651175,eMBB,14.567
1.657793,mMTC,0.293
1.660995,uRLLC,1.787
1.696676,uRLLC,1.773
1.701585,eMBB,12.157
1.702646,eMBB,5.252
1.726783,mMTC,0.141
1.735877,uRLLC,0.925
1.750824,uRLLC,1.083
1.781014,mMTC,0.328
1.905288,mMTC,0.381
1.924314,uRLLC,1.259
1.940067,mMTC,0.102
1.940778,uRLLC,1.345
1.967117,mMTC,0.371
2.055264,eMBB,14.262
2.059481,mMTC,0.426
2.066524,mMTC,0.239
2.078216,mMTC,0.447
2.080245,uRLLC,1.024
2.136377,uRLLC,1.708
2.156806,mMTC,0.182
2.222399,mMTC,0.421
2.224603,mMTC,0.143
2.253157,mMTC,0.188
2.255759,uRLLC,1.580
2.338979,uRLLC,1.655
2.359430,mMTC,0.191
2.365751,uRLLC,1.122
2.408651,mMTC,0.357
2.409287,eMBB,13.551
2.433112,mMTC,0.171
2.469201,eMBB,9.722
2.506752,eMBB,11.924
2.509197,mMTC,0.199
2.549828,uRLLC,1.644
2.558353,uRLLC,1.758
2.587288,mMTC,0.150
2.599648,uRLLC,0.945
2.612531,uRLLC,0.619
2.625718,mMTC,0.272
2.627315,uRLLC,0.631
2.677053,mMTC,0.141
2.686708,mMTC,0.385
2.711171,uRLLC,1.975
2.781715,uRLLC,1.217
2.787841,uRLLC,1.338
2.794964,mMTC,0.306
2.801164,uRLLC,1.750
2.827244,uRLLC,1.983
2.841908,mMTC,0.430
2.901141,mMTC,0.393
2.998824,eMBB,14.515
3.005221,mMTC,0.356
3.009038,mMTC,0.349
3.030825,mMTC,0.166
3.142649,mMTC,0.430
3.179805,uRLLC,1.195
3.180043,mMTC,0.204
3.205805,mMTC,0.275
3.206564,mMTC,0.457
3.208043,mMTC,0.249
3.213082,mMTC,0.179
3.224603,uRLLC,1.057
3.237864,eMBB,6.262
3.274038,eMBB,13.812
3.311646,uRLLC,0.931
3.355812,mMTC,0.367
3.390770,mMTC,0.251
3.411347,mMTC,0.481
3.470447,mMTC,0.314
3.472670,mMTC,0.199
3.539292,uRLLC,1.335
3.566051,eMBB,5.095
3.568786,uRLLC,0.881
3.581263,uRLLC,1.017
3.596360,uRLLC,0.594
3.602604,eMBB,9.967
3.603234,uRLLC,1.903
3.611630,eMBB,9.642
3.616055,mMTC,0.217
3.618620,uRLLC,0.817
3.635599,mMTC,0.147
3.640545,uRLLC,1.467
3.665430,uRLLC,1.820
3.678577,eMBB,11.111
3.694037,mMTC,0.230
3.697989,uRLLC,1.772
3.771151,eMBB,14.543
3.771462,eMBB,9.921
3.820630,uRLLC,0.702
3.826851,mMTC,0.302
3.839366,uRLLC,0.999
3.863753,uRLLC,1.664
3.865980,uRLLC,1.679
3.883577,mMTC,0.352
3.903284,uRLLC,0.648
3.944701,mMTC,0.429
3.968232,mMTC,0.178
3.971475,mMTC,0.223
4.033922,mMTC,0.425
4.053692,mMTC,0.188
4.059404,uRLLC,1.947
4.066139,uRLLC,0.743
4.073522,mMTC,0.156
4.089027,mMTC,0.421
4.106904,mMTC,0.339
4.118864,eMBB,7.654
4.145136,uRLLC,0.935
4.149431,mMTC,0.108
4.154236,mMTC,0.236
4.154614,eMBB,10.629
4.166679,mMTC,0.298
4.184566,mMTC,0.305
4.251534,eMBB,13.125
4.261708,mMTC,0.423
4.263452,mMTC,0.162
4.284269,uRLLC,1.077
4.309774,uRLLC,1.358
4.332405,mMTC,0.464
4.340833,uRLLC,1.754
4.346669,eMBB,14.120
4.356873,mMTC,0.483
4.399857,mMTC,0.111
4.402214,uRLLC,1.792
4.409130,uRLLC,1.945
4.429388,eMBB,12.407
4.461089,eMBB,14.412
4.464384,uRLLC,1.315
4.466994,mMTC,0.323
4.504923,mMTC,0.118
4.544449,mMTC,0.398
4.567424,mMTC,0.372
4.589956,eMBB,7.080
4.608942,mMTC,0.290
4.629546,mMTC,0.365
4.632701,mMTC,0.249
4.661169,mMTC,0.490
4.681334,uRLLC,1.439
4.688888,eMBB,9.351
4.692636,uRLLC,1.911
4.721068,mMTC,0.442
4.732834,uRLLC,1.819
4.733057,uRLLC,1.887
4.746888,eMBB,6.549
4.755384,eMBB,8.173
4.774078,mMTC,0.310
4.802635,mMTC,0.465
4.844831,mMTC,0.474
4.865486,eMBB,6.852
4.887750,mMTC,0.499
4.917322,mMTC,0.405
4.934520,uRLLC,0.778
4.967929,mMTC,0.362
4.992227,uRLLC,1.312
5.012968,mMTC,0.384
5.051973,uRLLC,0.634
5.086664,mMTC,0.280
5.146303,mMTC,0.255
5.148923,mMTC,0.365
5.171682,mMTC,0.321
5.187184,mMTC,0.182
5.204748,mMTC,0.437
5.215144,uRLLC,1.968
5.250810,uRLLC,1.660
5.263076,uRLLC,1.616
5.299877,uRLLC,1.766
5.314505,uRLLC,1.728
5.319510,uRLLC,1.769
5.333609,mMTC,0.156
5.351867,mMTC,0.384
5.356246,uRLLC,0.850
5.368206,eMBB,11.932
5.374433,uRLLC,0.596
5.381422,mMTC,0.156
5.395181,mMTC,0.106
5.430468,mMTC,0.440
5.486038,uRLLC,1.195
5.493266,uRLLC,1.211
5.498640,eMBB,8.094
5.516142,uRLLC,1.931
5.533432,eMBB,5.036
5.549910,uRLLC,1.550
5.563244,mMTC,0.401
5.618897,eMBB,6.981
5.623804,mMTC,0.284
5.631169,mMTC,0.271
5.636520,mMTC,0.135
5.662501,uRLLC,0.753
5.672765,eMBB,11.249
5.705188,uRLLC,0.959
5.718509,uRLLC,1.813
5.726971,mMTC,0.211
5.735104,mMTC,0.278
5.742630,uRLLC,1.038
5.748268,mMTC,0.350
5.769692,uRLLC,1.517
5.777771,mMTC,0.229
5.793552,uRLLC,0.857
5.889493,uRLLC,1.549
5.959071,uRLLC,0.682
5.959443,uRLLC,1.618
5.965222,uRLLC,0.864
6.022312,eMBB,14.661
6.096029,mMTC,0.333
6.126491,mMTC,0.285
6.147247,mMTC,0.487
6.231882,mMTC,0.497
6.249779,mMTC,0.332
6.267273,uRLLC,1.075
6.307075,mMTC,0.179
6.325773,uRLLC,0.702
6.325909,mMTC,0.234
6.340115,eMBB,8.806
6.346889,eMBB,13.959
6.353564,mMTC,0.230
6.394400,uRLLC,1.513
6.468047,mMTC,0.285
6.473852,mMTC,0.149
6.509392,eMBB,10.787
6.539939,eMBB,10.476
6.542466,mMTC,0.443
6.545192,mMTC,0.145
6.574416,mMTC,0.156
6.634265,eMBB,6.983
6.713602,uRLLC,1.165
6.755092,eMBB,5.526
6.798752,mMTC,0.288
6.804111,eMBB,11.412
6.804783,mMTC,0.431
6.815053,uRLLC,0.943
6.833979,mMTC,0.194
6.840362,uRLLC,1.698
6.868413,uRLLC,1.175
6.875520,uRLLC,1.384
6.899614,eMBB,7.280
6.962539,uRLLC,1.512
6.969121,mMTC,0.320
6.972542,eMBB,12.950
6.979957,mMTC,0.288
6.987055,eMBB,6.054
6.997160,mMTC,0.180
7.001509,uRLLC,1.419
7.022454,uRLLC,1.219
7.028835,mMTC,0.278
7.051397,mMTC,0.202
7.072856,uRLLC,1.264
7.153419,uRLLC,1.301
7.169712,mMTC,0.291
7.175883,uRLLC,1.814
7.228901,eMBB,7.159
7.256353,mMTC,0.148
7.281832,eMBB,11.310
7.364334,uRLLC,1.146
7.382942,uRLLC,1.081
7.405651,uRLLC,1.299
7.434377,eMBB,13.318
7.476525,eMBB,6.776
7.478570,mMTC,0.267
7.488612,mMTC,0.342
7.494581,mMTC,0.138
7.495188,mMTC,0.183
7.518586,uRLLC,0.743
7.523330,uRLLC,1.239
7.527789,mMTC,0.105
7.540732,mMTC,0.461
7.591021,mMTC,0.432
7.637049,eMBB,7.187
7.678967,uRLLC,0.892
7.711036,mMTC,0.483
7.719766,mMTC,0.425
7.722180,mMTC,0.340
7.755062,mMTC,0.340
7.805209,eMBB,13.700
7.826401,mMTC,0.129
7.864806,uRLLC,0.591
7.892610,eMBB,6.212
7.948935,mMTC,0.354
7.967500,mMTC,0.446
7.970284,uRLLC,0.823
7.977447,mMTC,0.266
7.989785,mMTC,0.468
7.996575,uRLLC,1.928
8.016044,uRLLC,1.203
8.018813,mMTC,0.496
8.048681,mMTC,0.288
8.123876,uRLLC,1.148
8.162583,uRLLC,1.930
8.183767,eMBB,6.262
8.189912,mMTC,0.301
8.208379,uRLLC,1.851
8.209532,uRLLC,1.921
8.212282,mMTC,0.130
8.215637,uRLLC,1.217
8.228843,uRLLC,1.973
8.256063,uRLLC,1.912
8.297079,uRLLC,1.052
8.353863,uRLLC,1.866
8.354871,mMTC,0.378
8.377839,mMTC,0.445
8.506900,mMTC,0.317
8.538516,eMBB,13.715
8.569062,mMTC,0.360
8.593022,mMTC,0.340
8.606954,mMTC,0.148
8.614952,uRLLC,1.169
8.621910,mMTC,0.381
8.643116,uRLLC,1.257
8.646016,mMTC,0.136
8.666029,uRLLC,0.836
8.682708,eMBB,10.940
8.707783,uRLLC,1.122
8.709095,mMTC,0.457
8.729600,uRLLC,0.872
8.760775,mMTC,0.315
8.787991,mMTC,0.139
8.800553,mMTC,0.142
8.822288,eMBB,12.476
8.827028,uRLLC,0.581
8.839445,uRLLC,1.917
8.860292,mMTC,0.259
8.867917,mMTC,0.277
8.893819,eMBB,5.195
8.896333,mMTC,0.363
8.940498,mMTC,0.423
8.987768,uRLLC,0.821
8.992624,uRLLC,1.053
9.026465,mMTC,0.410
9.041209,mMTC,0.393
9.052491,eMBB,7.765
9.083021,mMTC,0.213
9.103916,mMTC,0.181
9.134699,uRLLC,1.173
9.144722,mMTC,0.104
9.170744,mMTC,0.115
9.188940,mMTC,0.135
9.201400,uRLLC,1.881
