Timestamp,SliceType,Size_MBits
0.001398,uRLLC,1.623
0.047409,uRLLC,0.837
0.050208,mMTC,0.404
0.051134,mMTC,0.135
0.056916,mMTC,0.481
0.056936,mMTC,0.305
0.062124,uRLLC,1.419
0.065309,mMTC,0.217
0.077800,mMTC,0.386
0.081711,mMTC,0.157
0.084047,mMTC,0.370
0.086963,mMTC,0.274
0.091772,mMTC,0.305
0.097026,mMTC,0.340
0.105206,mMTC,0.309
0.147408,uRLLC,0.979
0.153729,uRLLC,0.951
0.161797,uRLLC,1.743
0.164999,uRLLC,1.439
0.184429,eMBB,13.193
0.212158,eMBB,13.569
0.217876,uRLLC,1.632
0.224858,mMTC,0.454
0.241271,uRLLC,0.748
0.244548,mMTC,0.137
0.266324,eMBB,6.512
0.274501,uRLLC,1.916
0.326911,eMBB,9.563
0.330596,mMTC,0.201
0.376083,mMTC,0.461
0.414322,mMTC,0.336
0.416325,mMTC,0.243
0.420473,mMTC,0.222
0.440551,mMTC,0.410
0.442590,mMTC,0.272
0.461501,mMTC,0.355
0.482760,mMTC,0.117
0.545587,eMBB,12.632
0.567309,uRLLC,1.126
0.588738,mMTC,0.305
0.629331,uRLLC,0.893
0.634283,mMTC,0.110
0.652336,mMTC,0.197
0.653192,uRLLC,1.348
0.693111,mMTC,0.217
0.696166,uRLLC,1.968
0.696431,mMTC,0.298
0.723838,uRLLC,1.161
0.749379,uRLLC,1.280
0.806918,uRLLC,1.781
0.808652,eMBB,9.645
0.811619,uRLLC,1.578
0.870416,uRLLC,0.556
0.885220,mMTC,0.325
0.899202,uRLLC,1.269
0.903034,mMTC,0.164
0.905624,mMTC,0.235
0.911342,mMTC,0.172
0.973817,uRLLC,1.048
0.990276,uRLLC,1.629
0.997811,uRLLC,1.617
0.999031,eMBB,10.983
1.018996,eMBB,6.840
1.019844,mMTC,0.119
1.034136,mMTC,0.317
1.040110,uRLLC,1.072
1.046995,mMTC,0.470
1.088817,mMTC,0.313
1.089566,mMTC,0.491
1.132118,mMTC,0.417
1.148476,eMBB,13.773
1.173344,mMTC,0.384
1.181384,mMTC,0.271
1.210379,uRLLC,0.657
1.240574,mMTC,0.166
1.248986,uRLLC,1.729
1.255281,uRLLC,1.700
1.258169,eMBB,10.893
1.275934,mMTC,0.274
1.285765,eMBB,5.376
1.289661,eMBB,9.531
1.293476,mMTC,0.323
1.310795,uRLLC,0.752
1.317792,mMTC,0.340
1.394119,mMTC,0.439
1.432246,uRLLC,1.672
1.440331,mMTC,0.108
1.460406,eMBB,6.760
1.496008,uRLLC,1.270
1.509739,mMTC,0.438
1.519346,mMTC,0.106
1.537086,eMBB,12.427
1.540121,uRLLC,1.125
1.548396,uRLLC,1.008
1.555025,uRLLC,1.574
1.560373,uRLLC,0.809
1.613347,eMBB,7.938
1.613792,mMTC,0.421
1.617226,uRLLC,0.640
1.635424,mMTC,0.414
1.660420,mMTC,0.446
1.684648,mMTC,0.203
1.729115,uRLLC,1.605
1.746637,eMBB,11.443
1.773070,mMTC,0.458
1.776346,uRLLC,0.976
1.776607,eMBB,8.103
1.779806,eMBB,5.492
1.805320,eMBB,5.690
1.842532,eMBB,14.136
1.910118,uRLLC,0.695
1.919058,eMBB,9.035
1.922150,eMBB,13.568
1.942061,mMTC,0.384
1.962227,eMBB,12.943
1.964046,mMTC,0.315
2.004992,mMTC,0.149
2.020796,uRLLC,1.143
2.028704,mMTC,0.457
2.046552,mMTC,0.259
2.068517,uRLLC,1.118
2.082144,uRLLC,1.760
2.125370,mMTC,0.124
2.138296,uRLLC,0.843
2.194961,eMBB,8.680
2.201878,uRLLC,1.441
2.316650,uRLLC,0.932
2.338070,uRLLC,1.402
2.350487,mMTC,0.383
2.365773,mMTC,0.149
2.396464,mMTC,0.490
2.397888,eMBB,6.933
2.403871,eMBB,14.526
2.453526,mMTC,0.431
2.524000,uRLLC,1.398
2.619600,mMTC,0.159
2.625649,mMTC,0.249
2.648435,eMBB,8.211
2.698391,mMTC,0.104
2.702162,uRLLC,1.007
2.737595,mMTC,0.476
2.761831,mMTC,0.258
2.775461,eMBB,5.588
2.840440,eMBB,6.302
2.851813,eMBB,12.840
2.854364,uRLLC,1.376
2.875618,mMTC,0.452
2.897217,eMBB,11.452
2.904504,eMBB,7.975
2.921552,mMTC,0.176
2.994868,uRLLC,1.272
3.002781,mMTC,0.171
3.007093,mMTC,0.293
3.044723,mMTC,0.379
3.051619,eMBB,11.714
3.056178,mMTC,0.117
